Customer_ID,Product_ID,Transaction_Date,Units_Sold
384,1286,2020-01-01,6
103,422,2020-01-01,10
664,832,2020-01-01,9
456,1692,2020-01-01,9
527,41,2020-01-01,9
461,254,2020-01-01,4
890,1547,2020-01-01,8
122,1393,2020-01-01,9
711,1058,2020-01-01,4
184,304,2020-01-01,4
932,1532,2020-01-01,5
759,20,2020-01-01,7
366,205,2020-01-01,5
314,112,2020-01-01,3
351,273,2020-01-01,5
208,1598,2020-01-01,3
896,1886,2020-01-01,2
689,133,2020-01-01,9
346,807,2020-01-01,7
223,1421,2020-01-01,9
268,1746,2020-01-01,9
199,535,2020-01-01,6
362,503,2020-01-01,2
393,2,2020-01-01,8
662,1430,2020-01-01,10
438,1340,2020-01-01,3
655,1098,2020-01-01,8
873,1267,2020-01-01,3
100,648,2020-01-01,4
415,130,2020-01-01,4
244,1505,2020-01-01,1
622,99,2020-01-01,9
955,1047,2020-01-01,2
840,1946,2020-01-01,8
706,1771,2020-01-01,5
543,952,2020-01-01,1
570,1372,2020-01-01,8
995,470,2020-01-01,1
969,537,2020-01-01,1
268,1269,2020-01-01,9
180,1218,2020-01-01,2
571,1821,2020-01-01,9
885,368,2020-01-01,9
768,937,2020-01-01,3
534,259,2020-01-01,8
228,235,2020-01-01,10
608,1747,2020-01-01,7
354,1240,2020-01-01,3
542,1520,2020-01-02,7
326,1726,2020-01-02,9
792,1126,2020-01-02,10
113,164,2020-01-02,8
927,798,2020-01-02,7
557,489,2020-01-02,4
584,1745,2020-01-02,8
875,582,2020-01-02,8
731,1961,2020-01-02,7
239,450,2020-01-02,9
484,539,2020-01-02,6
961,1909,2020-01-02,4
424,155,2020-01-02,10
681,743,2020-01-02,9
209,1234,2020-01-02,6
630,1719,2020-01-02,7
833,539,2020-01-02,9
291,1995,2020-01-02,8
965,19,2020-01-02,5
184,720,2020-01-02,2
928,1471,2020-01-02,8
969,1092,2020-01-02,5
816,970,2020-01-02,4
110,1981,2020-01-02,6
291,162,2020-01-02,10
864,623,2020-01-02,3
941,1827,2020-01-02,1
169,1605,2020-01-02,6
848,726,2020-01-02,6
731,1631,2020-01-02,5
329,777,2020-01-02,4
408,1906,2020-01-02,5
208,648,2020-01-02,2
974,231,2020-01-02,9
719,1584,2020-01-02,9
433,1861,2020-01-02,3
761,1866,2020-01-02,8
882,1446,2020-01-02,10
322,1790,2020-01-02,5
385,1406,2020-01-02,2
943,1004,2020-01-02,7
777,1022,2020-01-02,7
307,1630,2020-01-02,6
154,1814,2020-01-02,6
526,151,2020-01-02,8
548,1898,2020-01-02,5
407,1086,2020-01-02,7
453,389,2020-01-02,8
569,939,2020-01-02,6
118,143,2020-01-03,4
358,284,2020-01-03,9
991,606,2020-01-03,2
110,597,2020-01-03,6
609,314,2020-01-03,7
727,861,2020-01-03,5
303,1940,2020-01-03,1
148,498,2020-01-03,3
525,1448,2020-01-03,7
978,523,2020-01-03,7
355,1048,2020-01-03,9
671,41,2020-01-03,9
397,867,2020-01-03,5
978,1761,2020-01-03,5
324,1796,2020-01-03,2
929,1763,2020-01-03,4
934,85,2020-01-03,4
608,151,2020-01-03,3
576,26,2020-01-03,6
659,1281,2020-01-03,4
245,1248,2020-01-03,1
581,72,2020-01-03,9
731,837,2020-01-03,9
717,1430,2020-01-03,7
708,1238,2020-01-03,3
604,1102,2020-01-03,1
414,1661,2020-01-03,2
479,493,2020-01-03,5
697,502,2020-01-03,4
837,1437,2020-01-03,8
443,1117,2020-01-03,7
651,565,2020-01-03,7
699,1550,2020-01-03,9
750,1472,2020-01-03,9
266,1313,2020-01-03,9
890,1742,2020-01-03,4
500,1538,2020-01-03,9
582,1371,2020-01-03,7
589,107,2020-01-03,10
899,973,2020-01-03,4
367,705,2020-01-04,2
898,1907,2020-01-04,4
187,1995,2020-01-04,8
442,1584,2020-01-04,10
388,1575,2020-01-04,9
285,342,2020-01-04,6
208,1139,2020-01-04,9
843,1866,2020-01-04,10
314,549,2020-01-04,10
249,368,2020-01-04,9
898,1354,2020-01-04,8
232,815,2020-01-04,6
642,1534,2020-01-04,8
332,262,2020-01-04,2
246,1685,2020-01-04,1
737,807,2020-01-04,6
741,141,2020-01-04,10
900,151,2020-01-04,1
209,1730,2020-01-04,6
613,115,2020-01-04,7
228,57,2020-01-04,3
331,777,2020-01-04,2
854,1919,2020-01-04,10
554,1331,2020-01-04,8
658,570,2020-01-04,1
293,912,2020-01-04,1
201,864,2020-01-04,6
300,1331,2020-01-04,7
591,1047,2020-01-04,10
729,1158,2020-01-04,9
784,996,2020-01-04,2
695,399,2020-01-04,9
753,829,2020-01-04,2
272,1317,2020-01-04,9
566,1179,2020-01-04,5
385,938,2020-01-04,2
982,155,2020-01-04,3
914,790,2020-01-04,9
330,365,2020-01-04,5
608,489,2020-01-04,5
701,393,2020-01-04,10
120,869,2020-01-04,3
929,539,2020-01-04,1
340,1561,2020-01-04,9
648,409,2020-01-04,10
234,677,2020-01-04,7
635,1423,2020-01-04,5
442,1886,2020-01-04,8
646,502,2020-01-05,5
777,1371,2020-01-05,4
746,544,2020-01-05,3
326,237,2020-01-05,2
646,897,2020-01-05,2
832,1172,2020-01-05,4
918,1269,2020-01-05,9
177,383,2020-01-05,4
211,4,2020-01-05,2
793,393,2020-01-05,6
339,752,2020-01-05,5
293,1548,2020-01-05,4
586,605,2020-01-05,8
698,1088,2020-01-05,1
279,235,2020-01-05,9
652,2,2020-01-05,10
823,366,2020-01-05,6
267,168,2020-01-05,8
174,1170,2020-01-05,10
555,469,2020-01-05,8
859,1712,2020-01-05,9
168,435,2020-01-05,7
656,501,2020-01-05,7
401,1495,2020-01-05,3
664,1884,2020-01-05,6
131,700,2020-01-05,5
723,1905,2020-01-05,2
206,1249,2020-01-05,4
352,74,2020-01-05,8
691,409,2020-01-05,8
925,1532,2020-01-05,7
542,185,2020-01-05,8
584,1639,2020-01-05,9
244,225,2020-01-05,8
238,428,2020-01-05,5
257,1909,2020-01-05,7
376,939,2020-01-05,3
265,916,2020-01-05,8
318,1438,2020-01-05,10
625,1896,2020-01-05,2
761,334,2020-01-05,1
430,655,2020-01-05,5
473,1084,2020-01-05,3
724,1603,2020-01-05,1
329,725,2020-01-05,1
767,162,2020-01-05,7
488,633,2020-01-05,3
907,1248,2020-01-05,3
373,1519,2020-01-06,5
816,168,2020-01-06,4
482,765,2020-01-06,8
848,332,2020-01-06,10
536,510,2020-01-06,2
470,1248,2020-01-06,1
600,1903,2020-01-06,2
550,1713,2020-01-06,8
862,378,2020-01-06,10
260,1519,2020-01-06,10
483,1000,2020-01-06,1
609,1653,2020-01-06,9
435,1437,2020-01-06,2
515,1248,2020-01-06,2
422,1340,2020-01-06,6
161,550,2020-01-06,5
288,1761,2020-01-06,1
368,1974,2020-01-06,10
234,570,2020-01-06,5
189,1768,2020-01-06,2
971,1664,2020-01-06,9
160,760,2020-01-06,8
738,939,2020-01-06,9
433,827,2020-01-06,6
309,677,2020-01-06,4
297,1704,2020-01-06,3
550,571,2020-01-06,2
864,607,2020-01-06,6
229,1313,2020-01-06,3
382,481,2020-01-06,3
692,1305,2020-01-06,2
437,725,2020-01-06,5
301,1474,2020-01-06,1
391,1454,2020-01-06,1
323,769,2020-01-06,7
806,1282,2020-01-06,7
634,1087,2020-01-06,8
303,1776,2020-01-06,6
967,525,2020-01-06,6
416,258,2020-01-06,10
977,304,2020-01-06,7
132,1740,2020-01-06,8
531,480,2020-01-06,9
614,1623,2020-01-06,2
143,681,2020-01-06,1
362,183,2020-01-06,7
743,1882,2020-01-06,7
431,162,2020-01-06,6
549,1931,2020-01-06,3
975,1939,2020-01-06,8
882,1156,2020-01-07,2
840,1372,2020-01-07,8
522,15,2020-01-07,2
526,674,2020-01-07,10
397,612,2020-01-07,4
615,889,2020-01-07,2
851,335,2020-01-07,9
259,1092,2020-01-07,1
104,1248,2020-01-07,10
566,1728,2020-01-07,3
323,1130,2020-01-07,9
947,959,2020-01-07,7
679,105,2020-01-07,2
441,155,2020-01-07,3
984,1108,2020-01-07,5
748,1530,2020-01-07,10
436,1587,2020-01-07,7
725,29,2020-01-07,10
360,179,2020-01-07,10
505,1463,2020-01-07,3
830,246,2020-01-07,1
196,614,2020-01-07,6
234,431,2020-01-07,9
641,314,2020-01-07,1
579,1474,2020-01-07,1
518,833,2020-01-07,7
218,205,2020-01-07,3
344,946,2020-01-07,5
846,1638,2020-01-07,10
185,1909,2020-01-07,9
157,1281,2020-01-07,7
288,165,2020-01-07,6
606,1583,2020-01-07,2
386,1306,2020-01-07,8
258,1968,2020-01-07,3
648,924,2020-01-07,9
638,424,2020-01-07,4
783,485,2020-01-07,10
835,259,2020-01-07,10
431,406,2020-01-07,6
375,553,2020-01-07,7
473,1297,2020-01-07,6
383,1950,2020-01-07,4
921,1149,2020-01-07,4
302,798,2020-01-07,3
117,1363,2020-01-07,10
126,1425,2020-01-07,8
985,777,2020-01-07,8
548,1950,2020-01-07,2
872,259,2020-01-07,4
809,13,2020-01-07,4
844,1399,2020-01-07,9
325,1339,2020-01-08,2
199,1708,2020-01-08,2
931,511,2020-01-08,1
780,616,2020-01-08,2
241,1893,2020-01-08,8
636,147,2020-01-08,9
765,1854,2020-01-08,9
442,442,2020-01-08,5
193,966,2020-01-08,10
657,1472,2020-01-08,10
524,1738,2020-01-08,4
288,1107,2020-01-08,8
658,1374,2020-01-08,7
744,293,2020-01-08,2
665,1584,2020-01-08,7
572,1538,2020-01-08,2
195,1044,2020-01-08,2
631,248,2020-01-08,1
523,376,2020-01-08,7
962,708,2020-01-08,9
135,1575,2020-01-08,1
347,1704,2020-01-08,8
397,310,2020-01-08,2
497,489,2020-01-08,3
170,1473,2020-01-08,4
532,503,2020-01-08,8
665,725,2020-01-08,9
182,1916,2020-01-08,3
216,1126,2020-01-08,5
195,1995,2020-01-08,4
595,481,2020-01-08,2
352,1068,2020-01-08,5
458,868,2020-01-08,1
660,1139,2020-01-08,3
320,79,2020-01-08,9
414,993,2020-01-08,10
191,407,2020-01-08,2
954,55,2020-01-08,5
237,620,2020-01-08,4
489,618,2020-01-08,8
621,722,2020-01-08,10
977,392,2020-01-08,7
500,1267,2020-01-08,8
635,489,2020-01-08,4
685,781,2020-01-08,7
704,1263,2020-01-08,6
162,618,2020-01-08,10
741,1281,2020-01-08,3
961,248,2020-01-08,10
171,521,2020-01-08,6
936,1258,2020-01-08,4
880,1341,2020-01-08,1
851,1047,2020-01-08,1
845,1844,2020-01-08,8
381,623,2020-01-08,1
635,1953,2020-01-08,8
998,779,2020-01-08,5
610,490,2020-01-08,9
229,359,2020-01-08,3
349,1685,2020-01-09,4
405,712,2020-01-09,2
157,1206,2020-01-09,4
360,927,2020-01-09,3
495,246,2020-01-09,6
393,1139,2020-01-09,3
968,1007,2020-01-09,7
849,172,2020-01-09,7
171,1871,2020-01-09,2
410,1488,2020-01-09,6
502,323,2020-01-09,4
388,364,2020-01-09,7
532,406,2020-01-09,10
