Customer_ID,Product_ID,Transaction_Date,Units_Sold,State
384,1286,2020-01-01,6,New Mexico
103,422,2020-01-01,10,California
664,832,2020-01-01,9,Missouri
456,1692,2020-01-01,9,California
527,41,2020-01-01,9,Utah
461,254,2020-01-01,4,Maryland
890,1547,2020-01-01,8,Illinois
122,1393,2020-01-01,9,Michigan
711,1058,2020-01-01,4,Pennsylvania
184,304,2020-01-01,4,Indiana
932,1532,2020-01-01,5,Maine
759,20,2020-01-01,7,Minnesota
366,205,2020-01-01,5,Idaho
314,112,2020-01-01,3,California
351,273,2020-01-01,5,California
208,1598,2020-01-01,3,New York
896,1886,2020-01-01,2,Georgia
689,133,2020-01-01,9,Indiana
346,807,2020-01-01,7,Florida
223,1421,2020-01-01,9,Florida
268,1746,2020-01-01,9,Arizona
199,535,2020-01-01,6,Illinois
362,503,2020-01-01,2,Pennsylvania
393,2,2020-01-01,8,Vermont
662,1430,2020-01-01,10,Wisconsin
438,1340,2020-01-01,3,Florida
655,1098,2020-01-01,8,Massachusetts
873,1267,2020-01-01,3,Texas
100,648,2020-01-01,4,California
415,130,2020-01-01,4,Alabama
244,1505,2020-01-01,1,Louisiana
622,99,2020-01-01,9,Oklahoma
955,1047,2020-01-01,2,Oregon
840,1946,2020-01-01,8,California
706,1771,2020-01-01,5,Colorado
543,952,2020-01-01,1,Idaho
570,1372,2020-01-01,8,Florida
995,470,2020-01-01,1,Texas
969,537,2020-01-01,1,Minnesota
268,1269,2020-01-01,9,Florida
180,1218,2020-01-01,2,Georgia
571,1821,2020-01-01,9,Nevada
885,368,2020-01-01,9,Florida
768,937,2020-01-01,3,North Carolina
534,259,2020-01-01,8,Pennsylvania
228,235,2020-01-01,10,South Carolina
608,1747,2020-01-01,7,California
354,1240,2020-01-01,3,Arizona
542,1520,2020-01-02,7,Michigan
326,1726,2020-01-02,9,Nebraska
792,1126,2020-01-02,10,New York
113,164,2020-01-02,8,Florida
927,798,2020-01-02,7,Arizona
557,489,2020-01-02,4,North Dakota
584,1745,2020-01-02,8,Kentucky
875,582,2020-01-02,8,Virginia
731,1961,2020-01-02,7,New York
239,450,2020-01-02,9,Ohio
484,539,2020-01-02,6,North Carolina
961,1909,2020-01-02,4,Connecticut
424,155,2020-01-02,10,Washington
681,743,2020-01-02,9,New Jersey
209,1234,2020-01-02,6,California
630,1719,2020-01-02,7,Indiana
833,539,2020-01-02,9,Texas
291,1995,2020-01-02,8,New York
965,19,2020-01-02,5,Oklahoma
184,720,2020-01-02,2,Connecticut
928,1471,2020-01-02,8,Mississippi
969,1092,2020-01-02,5,New York
816,970,2020-01-02,4,California
110,1981,2020-01-02,6,New Mexico
291,162,2020-01-02,10,Florida
864,623,2020-01-02,3,Illinois
941,1827,2020-01-02,1,New York
169,1605,2020-01-02,6,Iowa
848,726,2020-01-02,6,California
731,1631,2020-01-02,5,New York
329,777,2020-01-02,4,Georgia
408,1906,2020-01-02,5,Tennessee
208,648,2020-01-02,2,Maryland
974,231,2020-01-02,9,Michigan
719,1584,2020-01-02,9,Arkansas
433,1861,2020-01-02,3,Nebraska
761,1866,2020-01-02,8,Illinois
882,1446,2020-01-02,10,Massachusetts
322,1790,2020-01-02,5,Illinois
385,1406,2020-01-02,2,Alaska
943,1004,2020-01-02,7,Utah
777,1022,2020-01-02,7,North Carolina
307,1630,2020-01-02,6,Florida
154,1814,2020-01-02,6,Texas
526,151,2020-01-02,8,Connecticut
548,1898,2020-01-02,5,New York
407,1086,2020-01-02,7,Missouri
453,389,2020-01-02,8,New Jersey
569,939,2020-01-02,6,California
118,143,2020-01-03,4,Utah
358,284,2020-01-03,9,Kentucky
991,606,2020-01-03,2,Arizona
110,597,2020-01-03,6,California
609,314,2020-01-03,7,Mississippi
727,861,2020-01-03,5,New Hampshire
303,1940,2020-01-03,1,Nebraska
148,498,2020-01-03,3,Louisiana
525,1448,2020-01-03,7,New Mexico
978,523,2020-01-03,7,Michigan
355,1048,2020-01-03,9,Michigan
671,41,2020-01-03,9,California
397,867,2020-01-03,5,Kansas
978,1761,2020-01-03,5,Mississippi
324,1796,2020-01-03,2,Florida
929,1763,2020-01-03,4,Colorado
934,85,2020-01-03,4,New York
608,151,2020-01-03,3,Connecticut
576,26,2020-01-03,6,Ohio
659,1281,2020-01-03,4,Texas
245,1248,2020-01-03,1,Mississippi
581,72,2020-01-03,9,Florida
731,837,2020-01-03,9,Alaska
717,1430,2020-01-03,7,Michigan
708,1238,2020-01-03,3,Connecticut
604,1102,2020-01-03,1,Kansas
414,1661,2020-01-03,2,Illinois
479,493,2020-01-03,5,Georgia
697,502,2020-01-03,4,Nebraska
837,1437,2020-01-03,8,Texas
443,1117,2020-01-03,7,Florida
651,565,2020-01-03,7,Florida
699,1550,2020-01-03,9,Pennsylvania
750,1472,2020-01-03,9,California
266,1313,2020-01-03,9,Indiana
890,1742,2020-01-03,4,Kentucky
500,1538,2020-01-03,9,Maryland
582,1371,2020-01-03,7,California
589,107,2020-01-03,10,Texas
899,973,2020-01-03,4,California
367,705,2020-01-04,2,Texas
898,1907,2020-01-04,4,Texas
187,1995,2020-01-04,8,California
442,1584,2020-01-04,10,Ohio
388,1575,2020-01-04,9,Virginia
285,342,2020-01-04,6,Georgia
208,1139,2020-01-04,9,Kentucky
843,1866,2020-01-04,10,Colorado
314,549,2020-01-04,10,New York
249,368,2020-01-04,9,Oregon
898,1354,2020-01-04,8,California
232,815,2020-01-04,6,California
642,1534,2020-01-04,8,Texas
332,262,2020-01-04,2,California
246,1685,2020-01-04,1,Massachusetts
737,807,2020-01-04,6,Illinois
741,141,2020-01-04,10,California
900,151,2020-01-04,1,New Jersey
209,1730,2020-01-04,6,New York
613,115,2020-01-04,7,California
228,57,2020-01-04,3,California
331,777,2020-01-04,2,Oregon
854,1919,2020-01-04,10,New Jersey
554,1331,2020-01-04,8,California
658,570,2020-01-04,1,Wisconsin
293,912,2020-01-04,1,Michigan
201,864,2020-01-04,6,Louisiana
300,1331,2020-01-04,7,Idaho
591,1047,2020-01-04,10,New York
729,1158,2020-01-04,9,Georgia
784,996,2020-01-04,2,Indiana
695,399,2020-01-04,9,Washington
753,829,2020-01-04,2,Arkansas
272,1317,2020-01-04,9,California
566,1179,2020-01-04,5,California
385,938,2020-01-04,2,New Jersey
982,155,2020-01-04,3,West Virginia
914,790,2020-01-04,9,Ohio
330,365,2020-01-04,5,Indiana
608,489,2020-01-04,5,West Virginia
701,393,2020-01-04,10,Michigan
120,869,2020-01-04,3,Louisiana
929,539,2020-01-04,1,Illinois
340,1561,2020-01-04,9,Texas
648,409,2020-01-04,10,Minnesota
234,677,2020-01-04,7,Illinois
635,1423,2020-01-04,5,Utah
442,1886,2020-01-04,8,Virginia
646,502,2020-01-05,5,Florida
777,1371,2020-01-05,4,New York
746,544,2020-01-05,3,Kansas
326,237,2020-01-05,2,Pennsylvania
646,897,2020-01-05,2,Utah
832,1172,2020-01-05,4,Arizona
918,1269,2020-01-05,9,Kentucky
177,383,2020-01-05,4,Ohio
211,4,2020-01-05,2,Virginia
793,393,2020-01-05,6,Michigan
339,752,2020-01-05,5,Iowa
293,1548,2020-01-05,4,Virginia
586,605,2020-01-05,8,Georgia
698,1088,2020-01-05,1,Minnesota
279,235,2020-01-05,9,Texas
652,2,2020-01-05,10,South Carolina
823,366,2020-01-05,6,Oregon
267,168,2020-01-05,8,Colorado
174,1170,2020-01-05,10,Maine
555,469,2020-01-05,8,California
859,1712,2020-01-05,9,Washington
168,435,2020-01-05,7,Pennsylvania
656,501,2020-01-05,7,Texas
401,1495,2020-01-05,3,Texas
664,1884,2020-01-05,6,Illinois
131,700,2020-01-05,5,Tennessee
723,1905,2020-01-05,2,Pennsylvania
206,1249,2020-01-05,4,New York
352,74,2020-01-05,8,North Carolina
691,409,2020-01-05,8,California
925,1532,2020-01-05,7,Nevada
542,185,2020-01-05,8,Oregon
584,1639,2020-01-05,9,Georgia
244,225,2020-01-05,8,Alabama
238,428,2020-01-05,5,Virginia
257,1909,2020-01-05,7,Colorado
376,939,2020-01-05,3,California
265,916,2020-01-05,8,Texas
318,1438,2020-01-05,10,Florida
625,1896,2020-01-05,2,Illinois
761,334,2020-01-05,1,New York
430,655,2020-01-05,5,New Mexico
473,1084,2020-01-05,3,Illinois
724,1603,2020-01-05,1,Texas
329,725,2020-01-05,1,Florida
767,162,2020-01-05,7,Massachusetts
488,633,2020-01-05,3,Washington
907,1248,2020-01-05,3,Michigan
373,1519,2020-01-06,5,Illinois
816,168,2020-01-06,4,Oklahoma
482,765,2020-01-06,8,South Carolina
848,332,2020-01-06,10,Illinois
536,510,2020-01-06,2,Pennsylvania
470,1248,2020-01-06,1,New Jersey
600,1903,2020-01-06,2,Texas
550,1713,2020-01-06,8,Ohio
862,378,2020-01-06,10,Massachusetts
260,1519,2020-01-06,10,Indiana
483,1000,2020-01-06,1,Pennsylvania
609,1653,2020-01-06,9,Hawaii
435,1437,2020-01-06,2,Connecticut
515,1248,2020-01-06,2,Illinois
422,1340,2020-01-06,6,Texas
161,550,2020-01-06,5,West Virginia
288,1761,2020-01-06,1,Oklahoma
368,1974,2020-01-06,10,Michigan
234,570,2020-01-06,5,Connecticut
189,1768,2020-01-06,2,Oregon
971,1664,2020-01-06,9,California
160,760,2020-01-06,8,Wisconsin
738,939,2020-01-06,9,Maryland
433,827,2020-01-06,6,Pennsylvania
309,677,2020-01-06,4,Florida
297,1704,2020-01-06,3,Colorado
550,571,2020-01-06,2,Florida
864,607,2020-01-06,6,Arizona
229,1313,2020-01-06,3,Ohio
382,481,2020-01-06,3,Tennessee
692,1305,2020-01-06,2,Idaho
437,725,2020-01-06,5,Florida
301,1474,2020-01-06,1,California
391,1454,2020-01-06,1,Nebraska
323,769,2020-01-06,7,New Jersey
806,1282,2020-01-06,7,South Carolina
634,1087,2020-01-06,8,North Carolina
303,1776,2020-01-06,6,Wisconsin
967,525,2020-01-06,6,Oklahoma
416,258,2020-01-06,10,New York
977,304,2020-01-06,7,New York
132,1740,2020-01-06,8,Wisconsin
531,480,2020-01-06,9,California
614,1623,2020-01-06,2,California
143,681,2020-01-06,1,Indiana
362,183,2020-01-06,7,Minnesota
743,1882,2020-01-06,7,Pennsylvania
431,162,2020-01-06,6,New York
549,1931,2020-01-06,3,Michigan
975,1939,2020-01-06,8,Virginia
882,1156,2020-01-07,2,New York
840,1372,2020-01-07,8,Georgia
522,15,2020-01-07,2,Ohio
526,674,2020-01-07,10,California
397,612,2020-01-07,4,Pennsylvania
615,889,2020-01-07,2,New York
851,335,2020-01-07,9,Texas
259,1092,2020-01-07,1,California
104,1248,2020-01-07,10,California
566,1728,2020-01-07,3,New Hampshire
323,1130,2020-01-07,9,New York
947,959,2020-01-07,7,North Dakota
679,105,2020-01-07,2,Michigan
441,155,2020-01-07,3,North Carolina
984,1108,2020-01-07,5,Florida
748,1530,2020-01-07,10,Illinois
436,1587,2020-01-07,7,Mississippi
725,29,2020-01-07,10,North Carolina
360,179,2020-01-07,10,Minnesota
505,1463,2020-01-07,3,Ohio
830,246,2020-01-07,1,Georgia
196,614,2020-01-07,6,Florida
234,431,2020-01-07,9,California
641,314,2020-01-07,1,Alabama
579,1474,2020-01-07,1,Massachusetts
518,833,2020-01-07,7,New York
218,205,2020-01-07,3,Oregon
344,946,2020-01-07,5,Wyoming
846,1638,2020-01-07,10,Colorado
185,1909,2020-01-07,9,Pennsylvania
157,1281,2020-01-07,7,Tennessee
288,165,2020-01-07,6,Pennsylvania
606,1583,2020-01-07,2,North Carolina
386,1306,2020-01-07,8,Missouri
258,1968,2020-01-07,3,Texas
648,924,2020-01-07,9,California
638,424,2020-01-07,4,California
783,485,2020-01-07,10,Ohio
835,259,2020-01-07,10,Virginia
431,406,2020-01-07,6,Colorado
375,553,2020-01-07,7,Indiana
473,1297,2020-01-07,6,Virginia
383,1950,2020-01-07,4,North Carolina
921,1149,2020-01-07,4,Louisiana
302,798,2020-01-07,3,Texas
117,1363,2020-01-07,10,Texas
126,1425,2020-01-07,8,South Carolina
985,777,2020-01-07,8,Ohio
548,1950,2020-01-07,2,California
872,259,2020-01-07,4,Pennsylvania
809,13,2020-01-07,4,Georgia
844,1399,2020-01-07,9,Minnesota
325,1339,2020-01-08,2,Arkansas
199,1708,2020-01-08,2,Illinois
931,511,2020-01-08,1,Ohio
780,616,2020-01-08,2,Alabama
241,1893,2020-01-08,8,Oregon
636,147,2020-01-08,9,Kentucky
765,1854,2020-01-08,9,Nebraska
442,442,2020-01-08,5,Missouri
193,966,2020-01-08,10,Oklahoma
657,1472,2020-01-08,10,New Mexico
524,1738,2020-01-08,4,Oregon
288,1107,2020-01-08,8,California
658,1374,2020-01-08,7,California
744,293,2020-01-08,2,Oregon
665,1584,2020-01-08,7,Louisiana
572,1538,2020-01-08,2,New York
195,1044,2020-01-08,2,New York
