SalesAmount,Sales_Year,Month,PreviousSalesAmount,MoM_Perc,MoM_Diff
"$ 345,442.72",2019,January,,,
"$ 280,840.98",2019,Febuary,"$ 345,442.72",-18.7%,"$ -64,601.74"
"$ 324,442.46",2019,March,"$ 280,840.98",15.53%,"$ 43,601.48"
"$ 330,465.67",2019,April,"$ 324,442.46",1.86%,"$ 6,023.21"
"$ 323,107.12",2019,May,"$ 330,465.67",-2.23%,"$ -7,358.55"
"$ 327,651.57",2019,June,"$ 323,107.12",1.41%,"$ 4,544.45"
"$ 336,908.08",2019,July,"$ 327,651.57",2.83%,"$ 9,256.51"
"$ 334,527.51",2019,August,"$ 336,908.08",-0.71%,"$ -2,380.57"
"$ 319,316.29",2019,September,"$ 334,527.51",-4.55%,"$ -15,211.22"
"$ 343,280.05",2019,October,"$ 319,316.29",7.5%,"$ 23,963.76"
"$ 319,868.72",2019,November,"$ 343,280.05",-6.82%,"$ -23,411.33"
"$ 475,346.19",2019,December,"$ 319,868.72",48.61%,"$ 155,477.47"
"$ 381,298.02",2020,January,"$ 475,346.19",-19.79%,"$ -94,048.17"
"$ 385,039.27",2020,Febuary,"$ 381,298.02",0.98%,"$ 3,741.25"
"$ 414,289.35",2020,March,"$ 385,039.27",7.6%,"$ 29,250.08"
"$ 378,978.94",2020,April,"$ 414,289.35",-8.52%,"$ -35,310.41"
"$ 399,769.57",2020,May,"$ 378,978.94",5.49%,"$ 20,790.63"
"$ 382,630.65",2020,June,"$ 399,769.57",-4.29%,"$ -17,138.92"
"$ 445,601.63",2020,July,"$ 382,630.65",16.46%,"$ 62,970.98"
"$ 417,792.62",2020,August,"$ 445,601.63",-6.24%,"$ -27,809.01"
"$ 403,041.76",2020,September,"$ 417,792.62",-3.53%,"$ -14,750.86"
"$ 424,451.86",2020,October,"$ 403,041.76",5.31%,"$ 21,410.10"
"$ 392,985.91",2020,November,"$ 424,451.86",-7.41%,"$ -31,465.95"
"$ 456,374.68",2020,December,"$ 392,985.91",16.13%,"$ 63,388.77"
"$ 353,430.22",2021,January,"$ 456,374.68",-22.56%,"$ -102,944.46"
"$ 305,530.71",2021,Febuary,"$ 353,430.22",-13.55%,"$ -47,899.51"
"$ 339,248.78",2021,March,"$ 305,530.71",11.04%,"$ 33,718.07"
"$ 335,213.03",2021,April,"$ 339,248.78",-1.19%,"$ -4,035.75"
"$ 336,252.65",2021,May,"$ 335,213.03",0.31%,"$ 1,039.62"
"$ 327,918.39",2021,June,"$ 336,252.65",-2.48%,"$ -8,334.26"
"$ 301,959.26",2021,July,"$ 327,918.39",-7.92%,"$ -25,959.13"
"$ 322,019.39",2021,August,"$ 301,959.26",6.64%,"$ 20,060.13"
"$ 318,754.53",2021,September,"$ 322,019.39",-1.01%,"$ -3,264.86"
"$ 334,898.70",2021,October,"$ 318,754.53",5.06%,"$ 16,144.17"
"$ 332,620.58",2021,November,"$ 334,898.70",-0.68%,"$ -2,278.12"
"$ 408,708.19",2021,December,"$ 332,620.58",22.88%,"$ 76,087.61"
"$ 329,970.13",2022,January,"$ 408,708.19",-19.27%,"$ -78,738.06"
"$ 317,716.78",2022,Febuary,"$ 329,970.13",-3.71%,"$ -12,253.35"
"$ 353,219.83",2022,March,"$ 317,716.78",11.17%,"$ 35,503.05"
"$ 355,564.16",2022,April,"$ 353,219.83",0.66%,"$ 2,344.33"
"$ 370,551.93",2022,May,"$ 355,564.16",4.22%,"$ 14,987.77"
"$ 342,320.72",2022,June,"$ 370,551.93",-7.62%,"$ -28,231.21"
"$ 358,019.74",2022,July,"$ 342,320.72",4.59%,"$ 15,699.02"
"$ 338,179.84",2022,August,"$ 358,019.74",-5.54%,"$ -19,839.90"
"$ 359,665.32",2022,September,"$ 338,179.84",6.35%,"$ 21,485.48"
"$ 335,804.25",2022,October,"$ 359,665.32",-6.63%,"$ -23,861.07"
"$ 340,313.48",2022,November,"$ 335,804.25",1.34%,"$ 4,509.23"
"$ 406,051.62",2022,December,"$ 340,313.48",19.32%,"$ 65,738.14"
"$ 318,150.28",2023,January,"$ 406,051.62",-21.65%,"$ -87,901.34"
"$ 320,947.09",2023,Febuary,"$ 318,150.28",0.88%,"$ 2,796.81"
"$ 344,831.26",2023,March,"$ 320,947.09",7.44%,"$ 23,884.17"
"$ 346,858.37",2023,April,"$ 344,831.26",0.59%,"$ 2,027.11"
"$ 352,365.82",2023,May,"$ 346,858.37",1.59%,"$ 5,507.45"
"$ 310,338.12",2023,June,"$ 352,365.82",-11.93%,"$ -42,027.70"
"$ 356,226.94",2023,July,"$ 310,338.12",14.79%,"$ 45,888.82"
"$ 351,926.30",2023,August,"$ 356,226.94",-1.21%,"$ -4,300.64"
"$ 339,900.68",2023,September,"$ 351,926.30",-3.42%,"$ -12,025.62"
"$ 338,705.63",2023,October,"$ 339,900.68",-0.35%,"$ -1,195.05"
"$ 320,737.64",2023,November,"$ 338,705.63",-5.3%,"$ -17,967.99"
"$ 409,618.52",2023,December,"$ 320,737.64",27.71%,"$ 88,880.88"
"$ 345,029.06",2024,January,"$ 409,618.52",-15.77%,"$ -64,589.46"
"$ 334,962.08",2024,Febuary,"$ 345,029.06",-2.92%,"$ -10,066.98"
"$ 359,622.41",2024,March,"$ 334,962.08",7.36%,"$ 24,660.33"
"$ 322,575.12",2024,April,"$ 359,622.41",-10.3%,"$ -37,047.29"
"$ 357,804.96",2024,May,"$ 322,575.12",10.92%,"$ 35,229.84"
"$ 322,074.49",2024,June,"$ 357,804.96",-9.99%,"$ -35,730.47"
"$ 324,760.57",2024,July,"$ 322,074.49",0.83%,"$ 2,686.08"
"$ 348,264.54",2024,August,"$ 324,760.57",7.24%,"$ 23,503.97"
"$ 332,825.37",2024,September,"$ 348,264.54",-4.43%,"$ -15,439.17"
"$ 326,269.12",2024,October,"$ 332,825.37",-1.97%,"$ -6,556.25"
"$ 334,270.26",2024,November,"$ 326,269.12",2.45%,"$ 8,001.14"
"$ 451,255.42",2024,December,"$ 334,270.26",35%,"$ 116,985.16"
"$ 324,961.46",2019,January,,,
"$ 301,263.07",2019,Febuary,"$ 324,961.46",-7.29%,"$ -23,698.39"
"$ 331,166.75",2019,March,"$ 301,263.07",9.93%,"$ 29,903.68"
"$ 307,526.66",2019,April,"$ 331,166.75",-7.14%,"$ -23,640.09"
"$ 349,659.31",2019,May,"$ 307,526.66",13.7%,"$ 42,132.65"
"$ 311,009.67",2019,June,"$ 349,659.31",-11.05%,"$ -38,649.64"
"$ 352,363.17",2019,July,"$ 311,009.67",13.3%,"$ 41,353.50"
"$ 348,808.69",2019,August,"$ 352,363.17",-1.01%,"$ -3,554.48"
"$ 313,794.61",2019,September,"$ 348,808.69",-10.04%,"$ -35,014.08"
"$ 359,551.71",2019,October,"$ 313,794.61",14.58%,"$ 45,757.10"
"$ 324,467.27",2019,November,"$ 359,551.71",-9.76%,"$ -35,084.44"
