ProductID,BranchID,City,Year,Month,ProductSalesAmount,TotalTransactions,UnitsSold,RankedProduct
2007,1,Skokie,2019,January,"$ 2,807.76",14,24,1
1593,1,Skokie,2019,January,"$ 2,299.00",6,11,2
109,1,Skokie,2019,January,"$ 2,288.80",13,20,3
1572,1,Skokie,2019,January,"$ 2,148.00",6,12,4
206,1,Skokie,2019,January,"$ 2,014.87",10,13,5
217,1,Skokie,2019,January,"$ 1,919.76",14,24,6
106,1,Skokie,2019,January,"$ 1,831.04",11,16,7
1655,1,Skokie,2019,January,"$ 1,819.87",9,13,8
201,1,Skokie,2019,January,"$ 1,819.86",10,14,9
1635,1,Skokie,2019,January,"$ 1,799.90",6,10,10
1594,1,Skokie,2019,Febuary,"$ 4,308.00",6,12,1
1593,1,Skokie,2019,Febuary,"$ 2,299.00",8,11,2
201,1,Skokie,2019,Febuary,"$ 2,079.84",9,16,3
198,1,Skokie,2019,Febuary,"$ 1,994.85",10,15,4
185,1,Skokie,2019,Febuary,"$ 1,979.82",10,18,5
2009,1,Skokie,2019,Febuary,"$ 1,899.81",13,19,6
196,1,Skokie,2019,Febuary,"$ 1,897.74",19,26,7
149,1,Skokie,2019,Febuary,"$ 1,874.85",8,15,8
2008,1,Skokie,2019,Febuary,"$ 1,855.84",11,16,9
1572,1,Skokie,2019,Febuary,"$ 1,790.00",5,10,10
204,1,Skokie,2019,March,"$ 3,779.70",21,30,1
179,1,Skokie,2019,March,"$ 2,399.75",16,25,2
2008,1,Skokie,2019,March,"$ 2,319.80",12,20,3
1574,1,Skokie,2019,March,"$ 2,309.79",13,21,4
198,1,Skokie,2019,March,"$ 2,260.83",11,17,5
201,1,Skokie,2019,March,"$ 2,209.83",11,17,6
2006,1,Skokie,2019,March,"$ 2,136.93",13,19,7
206,1,Skokie,2019,March,"$ 2,014.87",9,13,8
265,1,Skokie,2019,March,"$ 1,999.80",11,20,9
133,1,Skokie,2019,March,"$ 1,839.77",13,23,10
1594,1,Skokie,2019,April,"$ 2,872.00",7,8,1
198,1,Skokie,2019,April,"$ 2,792.79",12,21,2
